purity	dp	power	k	ploidy	error_rate
0.4	45	1.00266	4	1.0	0.001
0.4	46	1.002	4	1.0	0.001
0.4	47	1.0015	4	1.0	0.001
0.4	48	1.00112	4	1.0	0.001
0.4	49	1.00084	4	1.0	0.001
0.4	50	1.00062	4	1.0	0.001
0.4	51	1.00046	4	1.0	0.001
0.4	52	1.00034	4	1.0	0.001
0.4	53	1.00025	4	1.0	0.001
0.4	54	1.00019	4	1.0	0.001
0.4	55	1.00014	4	1.0	0.001
0.4	56	1.0001	4	1.0	0.001
0.4	57	1.00007	4	1.0	0.001
0.4	58	1.00005	4	1.0	0.001
0.4	59	1.00004	4	1.0	0.001
0.4	60	1.00003	4	1.0	0.001
0.4	61	1.00002	4	1.0	0.001
0.4	62	1.00002	4	1.0	0.001
0.4	63	1.00001	4	1.0	0.001
0.4	64	1.00001	4	1.0	0.001
0.4	65	1.00001	4	1.0	0.001
0.4	66	1.0	4	1.0	0.001
0.4	67	1.0	4	1.0	0.001
0.4	68	1.0	4	1.0	0.001
0.4	69	1.0	4	1.0	0.001
0.4	70	1.0	4	1.0	0.001
0.4	71	1.0	4	1.0	0.001
0.4	72	1.0	4	1.0	0.001
0.4	73	1.0	4	1.0	0.001
0.4	74	1.0	4	1.0	0.001
0.4	75	1.0	4	1.0	0.001
0.4	76	1.0	4	1.0	0.001
0.4	77	1.0	4	1.0	0.001
0.4	78	1.0	4	1.0	0.001
0.4	79	1.0	4	1.0	0.001
0.4	80	1.0	4	1.0	0.001
0.4	81	1.0	4	1.0	0.001
0.4	82	1.0	4	1.0	0.001
0.4	83	1.0	4	1.0	0.001
0.4	84	1.0	4	1.0	0.001
0.4	85	1.0	4	1.0	0.001
0.4	86	1.0	4	1.0	0.001
0.4	87	1.0	4	1.0	0.001
0.4	88	1.0	4	1.0	0.001
0.4	89	1.0	4	1.0	0.001
0.4	90	1.0	4	1.0	0.001
0.4	91	1.0	4	1.0	0.001
0.4	92	1.0	4	1.0	0.001
0.4	93	1.0	4	1.0	0.001
0.4	94	1.0	4	1.0	0.001
0.4	95	1.0	4	1.0	0.001
0.4	96	1.0	4	1.0	0.001
0.4	97	1.0	4	1.0	0.001
0.4	98	1.0	4	1.0	0.001
0.4	99	1.0	4	1.0	0.001
0.5	1	0.0	2	1.0	0.001
0.5	2	0.11118	2	1.0	0.001
0.5	3	0.2593	2	1.0	0.001
0.5	4	0.18521	3	1.0	0.001
0.5	5	0.28397	3	1.0	0.001
0.5	6	0.38545	3	1.0	0.001
0.5	7	0.48417	3	1.0	0.001
0.5	8	0.57558	3	1.0	0.001
0.5	9	0.65683	3	1.0	0.001
0.5	10	0.72671	3	1.0	0.001
0.5	11	0.78522	3	1.0	0.001
0.5	12	0.83314	3	1.0	0.001
0.5	13	0.87168	3	1.0	0.001
0.5	14	0.9022	3	1.0	0.001
0.5	15	0.92605	3	1.0	0.001
0.5	16	0.94447	3	1.0	0.001
0.5	17	0.95857	3	1.0	0.001
0.5	18	0.96927	3	1.0	0.001
0.5	19	0.97732	3	1.0	0.001
0.5	20	0.98334	3	1.0	0.001
0.5	21	0.98782	3	1.0	0.001
0.5	22	0.99112	3	1.0	0.001
0.5	23	0.99356	3	1.0	0.001
0.5	24	0.99534	3	1.0	0.001
0.5	25	0.99664	3	1.0	0.001
0.5	26	0.99758	3	1.0	0.001
0.5	27	0.99827	3	1.0	0.001
0.5	28	0.99876	3	1.0	0.001
0.5	29	0.99911	3	1.0	0.001
0.5	30	0.99937	3	1.0	0.001
0.5	31	0.99955	3	1.0	0.001
0.5	32	0.99968	3	1.0	0.001
0.5	33	0.99977	3	1.0	0.001
0.5	34	0.99984	3	1.0	0.001
0.5	35	0.99989	3	1.0	0.001
0.5	36	0.99992	3	1.0	0.001
0.5	37	0.99994	3	1.0	0.001
0.5	38	0.99996	3	1.0	0.001
0.5	39	0.99997	3	1.0	0.001
0.5	40	0.99998	3	1.0	0.001
0.5	41	0.99999	3	1.0	0.001
0.5	42	0.99999	3	1.0	0.001
0.5	43	0.99999	3	1.0	0.001
0.5	44	1.0	3	1.0	0.001
0.5	45	1.00008	4	1.0	0.001
0.5	46	1.00006	4	1.0	0.001
0.5	47	1.00004	4	1.0	0.001
0.5	48	1.00003	4	1.0	0.001
0.5	49	1.00002	4	1.0	0.001
0.5	50	1.00001	4	1.0	0.001
0.5	51	1.00001	4	1.0	0.001
0.5	52	1.00001	4	1.0	0.001
0.5	53	1.0	4	1.0	0.001
0.5	54	1.0	4	1.0	0.001
0.5	55	1.0	4	1.0	0.001
0.5	56	1.0	4	1.0	0.001
0.5	57	1.0	4	1.0	0.001
0.5	58	1.0	4	1.0	0.001
0.5	59	1.0	4	1.0	0.001
0.5	60	1.0	4	1.0	0.001
0.5	61	1.0	4	1.0	0.001
0.5	62	1.0	4	1.0	0.001
0.5	63	1.0	4	1.0	0.001
0.5	64	1.0	4	1.0	0.001
0.5	65	1.0	4	1.0	0.001
0.5	66	1.0	4	1.0	0.001
0.5	67	1.0	4	1.0	0.001
0.5	68	1.0	4	1.0	0.001
0.5	69	1.0	4	1.0	0.001
0.5	70	1.0	4	1.0	0.001
0.5	71	1.0	4	1.0	0.001
0.5	72	1.0	4	1.0	0.001
0.5	73	1.0	4	1.0	0.001
0.5	74	1.0	4	1.0	0.001
0.5	75	1.0	4	1.0	0.001
0.5	76	1.0	4	1.0	0.001
0.5	77	1.0	4	1.0	0.001
0.5	78	1.0	4	1.0	0.001
0.5	79	1.0	4	1.0	0.001
0.5	80	1.0	4	1.0	0.001
0.5	81	1.0	4	1.0	0.001
0.5	82	1.0	4	1.0	0.001
0.5	83	1.0	4	1.0	0.001
0.5	84	1.0	4	1.0	0.001
0.5	85	1.0	4	1.0	0.001
0.5	86	1.0	4	1.0	0.001
0.5	87	1.0	4	1.0	0.001
0.5	88	1.0	4	1.0	0.001
0.5	89	1.0	4	1.0	0.001
0.5	90	1.0	4	1.0	0.001
0.5	91	1.0	4	1.0	0.001
0.5	92	1.0	4	1.0	0.001
0.5	93	1.0	4	1.0	0.001
0.5	94	1.0	4	1.0	0.001
0.5	95	1.0	4	1.0	0.001
0.5	96	1.0	4	1.0	0.001
0.5	97	1.0	4	1.0	0.001
0.5	98	1.0	4	1.0	0.001
0.5	99	1.0	4	1.0	0.001
0.6	1	0.0	2	1.0	0.001
0.6	2	0.18378	2	1.0	0.001
0.6	3	0.39364	2	1.0	0.001
0.6	4	0.34865	3	1.0	0.001
0.6	5	0.48358	3	1.0	0.001
0.6	6	0.60287	3	1.0	0.001
0.6	7	0.70354	3	1.0	0.001
0.6	8	0.78444	3	1.0	0.001
0.6	9	0.84677	3	1.0	0.001
0.6	10	0.89316	3	1.0	0.001
0.6	11	0.92672	3	1.0	0.001
0.6	12	0.95045	3	1.0	0.001
0.6	13	0.9669	3	1.0	0.001
0.6	14	0.97813	3	1.0	0.001
0.6	15	0.98568	3	1.0	0.001
0.6	16	0.9907	3	1.0	0.001
0.6	17	0.994	3	1.0	0.001
0.6	18	0.99616	3	1.0	0.001
0.6	19	0.99755	3	1.0	0.001
0.6	20	0.99845	3	1.0	0.001
0.6	21	0.99902	3	1.0	0.001
0.6	22	0.99939	3	1.0	0.001
0.6	23	0.99962	3	1.0	0.001
0.6	24	0.99976	3	1.0	0.001
0.6	25	0.99985	3	1.0	0.001
0.6	26	0.99991	3	1.0	0.001
0.6	27	0.99994	3	1.0	0.001
0.6	28	0.99997	3	1.0	0.001
0.6	29	0.99998	3	1.0	0.001
0.6	30	0.99999	3	1.0	0.001
0.6	31	0.99999	3	1.0	0.001
0.6	32	1.0	3	1.0	0.001
0.6	33	1.0	3	1.0	0.001
0.6	34	1.0	3	1.0	0.001
0.6	35	1.0	3	1.0	0.001
0.6	36	1.0	3	1.0	0.001
0.6	37	1.0	3	1.0	0.001
0.6	38	1.0	3	1.0	0.001
0.6	39	1.0	3	1.0	0.001
0.6	40	1.0	3	1.0	0.001
0.6	41	1.0	3	1.0	0.001
0.6	42	1.0	3	1.0	0.001
0.6	43	1.0	3	1.0	0.001
0.6	44	1.0	3	1.0	0.001
0.6	45	1.0	4	1.0	0.001
0.6	46	1.0	4	1.0	0.001
0.6	47	1.0	4	1.0	0.001
0.6	48	1.0	4	1.0	0.001
0.6	49	1.0	4	1.0	0.001
0.6	50	1.0	4	1.0	0.001
0.6	51	1.0	4	1.0	0.001
0.6	52	1.0	4	1.0	0.001
0.6	53	1.0	4	1.0	0.001
0.6	54	1.0	4	1.0	0.001
0.6	55	1.0	4	1.0	0.001
0.6	56	1.0	4	1.0	0.001
0.6	57	1.0	4	1.0	0.001
0.6	58	1.0	4	1.0	0.001
0.6	59	1.0	4	1.0	0.001
0.6	60	1.0	4	1.0	0.001
0.6	61	1.0	4	1.0	0.001
0.6	62	1.0	4	1.0	0.001
0.6	63	1.0	4	1.0	0.001
0.6	64	1.0	4	1.0	0.001
0.6	65	1.0	4	1.0	0.001
0.6	66	1.0	4	1.0	0.001
0.6	67	1.0	4	1.0	0.001
0.6	68	1.0	4	1.0	0.001
0.6	69	1.0	4	1.0	0.001
0.6	70	1.0	4	1.0	0.001
0.6	71	1.0	4	1.0	0.001
0.6	72	1.0	4	1.0	0.001
0.6	73	1.0	4	1.0	0.001
0.6	74	1.0	4	1.0	0.001
0.6	75	1.0	4	1.0	0.001
0.6	76	1.0	4	1.0	0.001
0.6	77	1.0	4	1.0	0.001
0.6	78	1.0	4	1.0	0.001
0.6	79	1.0	4	1.0	0.001
0.6	80	1.0	4	1.0	0.001
0.6	81	1.0	4	1.0	0.001
0.6	82	1.0	4	1.0	0.001
0.6	83	1.0	4	1.0	0.001
0.6	84	1.0	4	1.0	0.001
0.6	85	1.0	4	1.0	0.001
0.6	86	1.0	4	1.0	0.001
0.6	87	1.0	4	1.0	0.001
0.6	88	1.0	4	1.0	0.001
0.6	89	1.0	4	1.0	0.001
0.6	90	1.0	4	1.0	0.001
0.6	91	1.0	4	1.0	0.001
0.6	92	1.0	4	1.0	0.001
0.6	93	1.0	4	1.0	0.001
0.6	94	1.0	4	1.0	0.001
0.6	95	1.0	4	1.0	0.001
0.6	96	1.0	4	1.0	0.001
0.6	97	1.0	4	1.0	0.001
0.6	98	1.0	4	1.0	0.001
0.6	99	1.0	4	1.0	0.001
0.7	1	0.0	2	1.0	0.001
0.7	2	0.29011	2	1.0	0.001
0.7	3	0.55765	2	1.0	0.001
0.7	4	0.58854	3	1.0	0.001
0.7	5	0.72153	3	1.0	0.001
0.7	6	0.81741	3	1.0	0.001
0.7	7	0.88467	3	1.0	0.001
0.7	8	0.92962	3	1.0	0.001
0.7	9	0.95829	3	1.0	0.001
0.7	10	0.97589	3	1.0	0.001
0.7	11	0.98634	3	1.0	0.001
0.7	12	0.9924	3	1.0	0.001
0.7	13	0.99583	3	1.0	0.001
0.7	14	0.99775	3	1.0	0.001
0.7	15	0.99879	3	1.0	0.001
0.7	16	0.99936	3	1.0	0.001
0.7	17	0.99966	3	1.0	0.001
0.7	18	0.99982	3	1.0	0.001
0.7	19	0.99991	3	1.0	0.001
0.7	20	0.99995	3	1.0	0.001
0.7	21	0.99998	3	1.0	0.001
0.7	22	0.99999	3	1.0	0.001
0.7	23	0.99999	3	1.0	0.001
0.7	24	1.0	3	1.0	0.001
0.7	25	1.0	3	1.0	0.001
0.7	26	1.0	3	1.0	0.001
0.7	27	1.0	3	1.0	0.001
0.7	28	1.0	3	1.0	0.001
0.7	29	1.0	3	1.0	0.001
0.7	30	1.0	3	1.0	0.001
0.7	31	1.0	3	1.0	0.001
0.7	32	1.0	3	1.0	0.001
0.7	33	1.0	3	1.0	0.001
0.7	34	1.0	3	1.0	0.001
0.7	35	1.0	3	1.0	0.001
0.7	36	1.0	3	1.0	0.001
0.7	37	1.0	3	1.0	0.001
0.7	38	1.0	3	1.0	0.001
0.7	39	1.0	3	1.0	0.001
0.7	40	1.0	3	1.0	0.001
0.7	41	1.0	3	1.0	0.001
0.7	42	1.0	3	1.0	0.001
0.7	43	1.0	3	1.0	0.001
0.7	44	1.0	3	1.0	0.001
0.7	45	1.0	4	1.0	0.001
0.7	46	1.0	4	1.0	0.001
0.7	47	1.0	4	1.0	0.001
0.7	48	1.0	4	1.0	0.001
0.7	49	1.0	4	1.0	0.001
0.7	50	1.0	4	1.0	0.001
0.7	51	1.0	4	1.0	0.001
0.7	52	1.0	4	1.0	0.001
0.7	53	1.0	4	1.0	0.001
0.7	54	1.0	4	1.0	0.001
0.7	55	1.0	4	1.0	0.001
0.7	56	1.0	4	1.0	0.001
0.7	57	1.0	4	1.0	0.001
0.7	58	1.0	4	1.0	0.001
0.7	59	1.0	4	1.0	0.001
0.7	60	1.0	4	1.0	0.001
0.7	61	1.0	4	1.0	0.001
0.7	62	1.0	4	1.0	0.001
0.7	63	1.0	4	1.0	0.001
0.7	64	1.0	4	1.0	0.001
0.7	65	1.0	4	1.0	0.001
0.7	66	1.0	4	1.0	0.001
0.7	67	1.0	4	1.0	0.001
0.7	68	1.0	4	1.0	0.001
0.7	69	1.0	4	1.0	0.001
0.7	70	1.0	4	1.0	0.001
0.7	71	1.0	4	1.0	0.001
0.7	72	1.0	4	1.0	0.001
0.7	73	1.0	4	1.0	0.001
0.7	74	1.0	4	1.0	0.001
0.7	75	1.0	4	1.0	0.001
0.7	76	1.0	4	1.0	0.001
0.7	77	1.0	4	1.0	0.001
0.7	78	1.0	4	1.0	0.001
0.7	79	1.0	4	1.0	0.001
